date,time,total,alive,dead_count,dead_names
2026-08-11,07:29,21,19,2,"gardener, isle_client"
2026-08-11,07:42,21,19,2,"gardener, isle_client"
2026-08-11,07:45,21,19,2,"gardener, isle_client"
2026-08-12,21:56,21,9,12,"gardener, depthchart, nexus_rag, tools_registry, auto_round, pd_disaggregation, dflash_speculative, inferbench, backpressure, pmc_retrieval, autonomous_ai_agents, isle_client"
2026-08-12,21:59,21,8,13,"gardener, nexus_rag, tools_registry, auto_round, runnburn, pd_disaggregation, dflash_speculative, inferbench, backpressure, pmc_retrieval, ai_inference_platform, autonomous_ai_agents, isle_client"
2026-08-12,23:25,21,13,8,"gardener, nexus_rag, tools_registry, alfred_intelligence, pmc_retrieval, ai_inference_platform, autonomous_ai_agents, isle_client"
2026-08-13,05:22,21,16,5,"gardener, runnburn, alfred_intelligence, autonomous_ai_agents, isle_client"
2026-08-13,09:57,21,-7,28,"gardener, pmc_retrieval, autonomous_ai_agents, isle_client, professor, professor_sync_p1, professor_sync_p2, professor_sync_p3, professor_sync_p4, coder_agent_1, coder_agent_2, coder_agent_3, coder_agent_4, filter_overlord, encrypted_comm, banner_deploy, github_private, model_registry, totomoto_audio, tailscale_mesh, holy_code_apps, node_lenovo, node_dell, node_totomoto, node_unsloth_studio, node_server_ubuntu, dj_sound_studio, holy_code_games"
2026-08-13,11:22,21,-6,27,"gardener, autonomous_ai_agents, isle_client, professor, professor_sync_p1, professor_sync_p2, professor_sync_p3, professor_sync_p4, coder_agent_1, coder_agent_2, coder_agent_3, coder_agent_4, filter_overlord, encrypted_comm, banner_deploy, github_private, model_registry, totomoto_audio, tailscale_mesh, holy_code_apps, node_lenovo, node_dell, node_totomoto, node_unsloth_studio, node_server_ubuntu, dj_sound_studio, holy_code_games"
2026-08-13,12:08:25.178106,35,8,27,"gardener;autonomous_ai_agents;isle_client;professor;professor_sync_p1;professor_sync_p2;professor_sync_p3;professor_sync_p4;coder_agent_1;coder_agent_2;coder_agent_3;coder_agent_4;filter_overlord;encrypted_comm;banner_deploy;github_private;model_registry;totomoto_audio;tailscale_mesh;holy_code_apps;node_lenovo;node_dell;node_totomoto;node_unsloth_studio;node_server_ubuntu;dj_sound_studio;holy_code_games"
2026-08-13,12:10:08.705334,35,8,27,"gardener;autonomous_ai_agents;isle_client;professor;professor_sync_p1;professor_sync_p2;professor_sync_p3;professor_sync_p4;coder_agent_1;coder_agent_2;coder_agent_3;coder_agent_4;filter_overlord;encrypted_comm;banner_deploy;github_private;model_registry;totomoto_audio;tailscale_mesh;holy_code_apps;node_lenovo;node_dell;node_totomoto;node_unsloth_studio;node_server_ubuntu;dj_sound_studio;holy_code_games"
2026-08-13,12:21:13.137000,35,8,27,"gardener;autonomous_ai_agents;isle_client;professor;professor_sync_p1;professor_sync_p2;professor_sync_p3;professor_sync_p4;coder_agent_1;coder_agent_2;coder_agent_3;coder_agent_4;filter_overlord;encrypted_comm;banner_deploy;github_private;model_registry;totomoto_audio;tailscale_mesh;holy_code_apps;node_lenovo;node_dell;node_totomoto;node_unsloth_studio;node_server_ubuntu;dj_sound_studio;holy_code_games"
2026-08-13,12:21:36.477785,35,8,27,"gardener;autonomous_ai_agents;isle_client;professor;professor_sync_p1;professor_sync_p2;professor_sync_p3;professor_sync_p4;coder_agent_1;coder_agent_2;coder_agent_3;coder_agent_4;filter_overlord;encrypted_comm;banner_deploy;github_private;model_registry;totomoto_audio;tailscale_mesh;holy_code_apps;node_lenovo;node_dell;node_totomoto;node_unsloth_studio;node_server_ubuntu;dj_sound_studio;holy_code_games"
2026-08-13,12:21:59.544282,35,8,27,"gardener;autonomous_ai_agents;isle_client;professor;professor_sync_p1;professor_sync_p2;professor_sync_p3;professor_sync_p4;coder_agent_1;coder_agent_2;coder_agent_3;coder_agent_4;filter_overlord;encrypted_comm;banner_deploy;github_private;model_registry;totomoto_audio;tailscale_mesh;holy_code_apps;node_lenovo;node_dell;node_totomoto;node_unsloth_studio;node_server_ubuntu;dj_sound_studio;holy_code_games"
2026-08-13,12:22:22.623104,35,8,27,"gardener;autonomous_ai_agents;isle_client;professor;professor_sync_p1;professor_sync_p2;professor_sync_p3;professor_sync_p4;coder_agent_1;coder_agent_2;coder_agent_3;coder_agent_4;filter_overlord;encrypted_comm;banner_deploy;github_private;model_registry;totomoto_audio;tailscale_mesh;holy_code_apps;node_lenovo;node_dell;node_totomoto;node_unsloth_studio;node_server_ubuntu;dj_sound_studio;holy_code_games"
2026-08-13,15:57,21,-6,27,"gardener, autonomous_ai_agents, isle_client, professor, professor_sync_p1, professor_sync_p2, professor_sync_p3, professor_sync_p4, coder_agent_1, coder_agent_2, coder_agent_3, coder_agent_4, filter_overlord, encrypted_comm, banner_deploy, github_private, model_registry, totomoto_audio, tailscale_mesh, holy_code_apps, node_lenovo, node_dell, node_totomoto, node_unsloth_studio, node_server_ubuntu, dj_sound_studio, holy_code_games"
2026-08-13,17:23,21,-6,27,"gardener, autonomous_ai_agents, isle_client, professor, professor_sync_p1, professor_sync_p2, professor_sync_p3, professor_sync_p4, coder_agent_1, coder_agent_2, coder_agent_3, coder_agent_4, filter_overlord, encrypted_comm, banner_deploy, github_private, model_registry, totomoto_audio, tailscale_mesh, holy_code_apps, node_lenovo, node_dell, node_totomoto, node_unsloth_studio, node_server_ubuntu, dj_sound_studio, holy_code_games"
2026-08-13,21:58,21,-6,27,"gardener, autonomous_ai_agents, isle_client, professor, professor_sync_p1, professor_sync_p2, professor_sync_p3, professor_sync_p4, coder_agent_1, coder_agent_2, coder_agent_3, coder_agent_4, filter_overlord, encrypted_comm, banner_deploy, github_private, model_registry, totomoto_audio, tailscale_mesh, holy_code_apps, node_lenovo, node_dell, node_totomoto, node_unsloth_studio, node_server_ubuntu, dj_sound_studio, holy_code_games"
2026-08-13,20:50:17.523980,35,8,27,"gardener;autonomous_ai_agents;isle_client;professor;professor_sync_p1;professor_sync_p2;professor_sync_p3;professor_sync_p4;coder_agent_1;coder_agent_2;coder_agent_3;coder_agent_4;filter_overlord;encrypted_comm;banner_deploy;github_private;model_registry;totomoto_audio;tailscale_mesh;holy_code_apps;node_lenovo;node_dell;node_totomoto;node_unsloth_studio;node_server_ubuntu;dj_sound_studio;holy_code_games"
2026-08-13,20:50:31.521447,35,8,27,"gardener;autonomous_ai_agents;isle_client;professor;professor_sync_p1;professor_sync_p2;professor_sync_p3;professor_sync_p4;coder_agent_1;coder_agent_2;coder_agent_3;coder_agent_4;filter_overlord;encrypted_comm;banner_deploy;github_private;model_registry;totomoto_audio;tailscale_mesh;holy_code_apps;node_lenovo;node_dell;node_totomoto;node_unsloth_studio;node_server_ubuntu;dj_sound_studio;holy_code_games"
2026-08-13,20:50:45.445923,35,8,27,"gardener;autonomous_ai_agents;isle_client;professor;professor_sync_p1;professor_sync_p2;professor_sync_p3;professor_sync_p4;coder_agent_1;coder_agent_2;coder_agent_3;coder_agent_4;filter_overlord;encrypted_comm;banner_deploy;github_private;model_registry;totomoto_audio;tailscale_mesh;holy_code_apps;node_lenovo;node_dell;node_totomoto;node_unsloth_studio;node_server_ubuntu;dj_sound_studio;holy_code_games"
2026-08-13,20:50:59.947053,35,8,27,"gardener;autonomous_ai_agents;isle_client;professor;professor_sync_p1;professor_sync_p2;professor_sync_p3;professor_sync_p4;coder_agent_1;coder_agent_2;coder_agent_3;coder_agent_4;filter_overlord;encrypted_comm;banner_deploy;github_private;model_registry;totomoto_audio;tailscale_mesh;holy_code_apps;node_lenovo;node_dell;node_totomoto;node_unsloth_studio;node_server_ubuntu;dj_sound_studio;holy_code_games"
2026-08-13,23:23,21,-6,27,"gardener, autonomous_ai_agents, isle_client, professor, professor_sync_p1, professor_sync_p2, professor_sync_p3, professor_sync_p4, coder_agent_1, coder_agent_2, coder_agent_3, coder_agent_4, filter_overlord, encrypted_comm, banner_deploy, github_private, model_registry, totomoto_audio, tailscale_mesh, holy_code_apps, node_lenovo, node_dell, node_totomoto, node_unsloth_studio, node_server_ubuntu, dj_sound_studio, holy_code_games"
2026-08-14,04:00,21,-6,27,"gardener, autonomous_ai_agents, isle_client, professor, professor_sync_p1, professor_sync_p2, professor_sync_p3, professor_sync_p4, coder_agent_1, coder_agent_2, coder_agent_3, coder_agent_4, filter_overlord, encrypted_comm, banner_deploy, github_private, model_registry, totomoto_audio, tailscale_mesh, holy_code_apps, node_lenovo, node_dell, node_totomoto, node_unsloth_studio, node_server_ubuntu, dj_sound_studio, holy_code_games"
2026-08-14,05:34,21,21,0,
2026-08-14,04:09:29.243263,35,-4,39,"gardener;depthchart;nexus_rag;tools_registry;auto_round;club_3090;runnburn;alfred_intelligence;hyperprobe;gauntlet_loop;pmc_retrieval;honeyhive_eval;ai_inference_platform;autonomous_ai_agents;isle_client;professor;professor_sync_p1;professor_sync_p2;professor_sync_p3;professor_sync_p4;coder_agent_1;coder_agent_2;coder_agent_3;coder_agent_4;filter_overlord;encrypted_comm;banner_deploy;github_private;model_registry;totomoto_audio;tailscale_mesh;holy_code_apps;node_lenovo;node_dell;node_totomoto;node_unsloth_studio;node_server_ubuntu;dj_sound_studio;holy_code_games"
2026-08-14,04:09:32.007759,35,-4,39,"gardener;depthchart;nexus_rag;tools_registry;auto_round;club_3090;runnburn;alfred_intelligence;hyperprobe;gauntlet_loop;pmc_retrieval;honeyhive_eval;ai_inference_platform;autonomous_ai_agents;isle_client;professor;professor_sync_p1;professor_sync_p2;professor_sync_p3;professor_sync_p4;coder_agent_1;coder_agent_2;coder_agent_3;coder_agent_4;filter_overlord;encrypted_comm;banner_deploy;github_private;model_registry;totomoto_audio;tailscale_mesh;holy_code_apps;node_lenovo;node_dell;node_totomoto;node_unsloth_studio;node_server_ubuntu;dj_sound_studio;holy_code_games"
2026-08-14,04:09:34.547563,35,-4,39,"gardener;depthchart;nexus_rag;tools_registry;auto_round;club_3090;runnburn;alfred_intelligence;hyperprobe;gauntlet_loop;pmc_retrieval;honeyhive_eval;ai_inference_platform;autonomous_ai_agents;isle_client;professor;professor_sync_p1;professor_sync_p2;professor_sync_p3;professor_sync_p4;coder_agent_1;coder_agent_2;coder_agent_3;coder_agent_4;filter_overlord;encrypted_comm;banner_deploy;github_private;model_registry;totomoto_audio;tailscale_mesh;holy_code_apps;node_lenovo;node_dell;node_totomoto;node_unsloth_studio;node_server_ubuntu;dj_sound_studio;holy_code_games"
2026-08-14,04:09:36.333606,35,-4,39,"gardener;depthchart;nexus_rag;tools_registry;auto_round;club_3090;runnburn;alfred_intelligence;hyperprobe;gauntlet_loop;pmc_retrieval;honeyhive_eval;ai_inference_platform;autonomous_ai_agents;isle_client;professor;professor_sync_p1;professor_sync_p2;professor_sync_p3;professor_sync_p4;coder_agent_1;coder_agent_2;coder_agent_3;coder_agent_4;filter_overlord;encrypted_comm;banner_deploy;github_private;model_registry;totomoto_audio;tailscale_mesh;holy_code_apps;node_lenovo;node_dell;node_totomoto;node_unsloth_studio;node_server_ubuntu;dj_sound_studio;holy_code_games"
2026-08-14,10:03:45,65,41,22,"gardener, autonomous_ai_agents, paranoidx, isle_client, superguard, watchdog, professor, professor_sync_p1, professor_sync_p2, professor_sync_p3, professor_sync_p4, coder_agent_1, coder_agent_2, coder_agent_3, coder_agent_4, filter_overlord, encrypted_comm, banner_deploy, github_private, model_registry, tailscale_mesh, holy_code_games"
2026-08-14,10:05:30,65,50,13,"gardener, autonomous_ai_agents, paranoidx, isle_client, professor, coder_agent_1, coder_agent_2, coder_agent_3, coder_agent_4, github_private, model_registry, tailscale_mesh, holy_code_games"
2026-08-14,10:08:06,65,51,11,"gardener, paranoidx, isle_client, professor, coder_agent_1, coder_agent_2, coder_agent_3, coder_agent_4, model_registry, tailscale_mesh, holy_code_games"
2026-08-14,10:09:36,65,54,8,"gardener, paranoidx, isle_client, coder_agent_1, coder_agent_2, coder_agent_3, coder_agent_4, holy_code_games"
